id,order_id,bottle_id,ml,price,cost,status,created_at
109,68,4,10,301.1,130.75,paid,2026-09-02
110,69,4,10,301.1,130.75,pending,2026-08-22
111,70,20,10,622.9,252.95,paid,2026-07-24
112,70,11,3,107.46,47.54,paid,2026-07-24
113,70,19,3,47.25,23.9,pending,2026-07-24
114,71,11,5,179.1,78.1,pending,2026-08-30
115,72,5,5,92.7,47.2,pending,2026-08-25
116,73,1,5,169.7,75.45,pending,2026-08-28
117,74,2,3,100.53,46.67,paid,2026-09-04
118,75,25,5,260.45,104.85,paid,2026-07-16
119,75,15,5,164.15,80.9,bonus,2026-07-16
120,76,17,5,95.05,46.3,paid,2026-07-10
121,76,1,3,101.82,45.95,paid,2026-07-10
122,76,13,5,160.7,75.1,paid,2026-07-10
123,77,29,3,80.13,40.4,paid,2026-09-07
124,78,19,5,78.75,38.7,paid,2026-06-13
125,78,20,5,311.45,127.05,paid,2026-06-13
126,78,20,5,311.45,127.05,pending,2026-06-13
127,79,24,10,335.5,160.85,paid,2026-06-23
128,79,29,3,80.13,40.4,paid,2026-06-23
129,80,11,5,179.1,78.1,paid,2026-08-06
130,81,3,3,130.08,59.69,paid,2026-08-14
131,81,14,3,111.96,47.15,pending,2026-08-14
132,82,18,5,77.6,38.85,paid,2026-07-14
133,82,12,10,287.6,127.25,bonus,2026-07-14
134,83,20,5,311.45,127.05,paid,2026-09-04
135,84,8,10,482.8,194.95,paid,2026-08-21
136,84,18,5,77.6,38.85,pending,2026-08-21
137,85,25,10,520.9,208.55,paid,2026-08-30
138,85,21,5,174.2,70.5,paid,2026-08-30
139,86,25,5,260.45,104.85,paid,2026-08-07
140,86,1,3,101.82,45.95,paid,2026-08-07
141,86,22,5,262.6,117.8,paid,2026-08-07
142,87,13,5,160.7,75.1,paid,2026-07-07
143,88,20,3,186.87,76.91,paid,2026-08-14
144,88,6,5,255.05,117.4,paid,2026-08-14
145,89,16,5,113.5,55.9,paid,2026-07-27
146,89,7,5,111.05,51.9,paid,2026-07-27
147,90,19,5,78.75,38.7,paid,2026-09-01
148,90,2,3,100.53,46.67,bonus,2026-09-01
149,90,2,3,100.53,46.67,paid,2026-09-01
150,91,11,3,107.46,47.54,paid,2026-07-12
151,92,23,3,147.96,68.15,paid,2026-09-02
152,92,22,10,525.2,234.45,paid,2026-09-02
153,93,14,3,111.96,47.15,pending,2026-09-09
154,94,23,5,246.6,112.45,paid,2026-08-09
155,94,13,3,96.42,45.74,paid,2026-08-09
156,95,3,5,216.8,98.35,paid,2026-09-05
157,96,13,10,321.4,149.05,pending,2026-09-02
158,97,17,5,95.05,46.3,paid,2026-08-30
159,98,27,3,45.96,25.19,paid,2026-07-29
160,98,9,3,130.92,66.86,paid,2026-07-29
161,98,25,5,260.45,104.85,paid,2026-07-29
162,99,15,5,164.15,80.9,pending,2026-09-06
163,99,21,5,174.2,70.5,paid,2026-09-06
164,100,15,5,164.15,80.9,pending,2026-08-17
165,100,19,3,47.25,23.9,paid,2026-08-17
166,101,12,10,287.6,127.25,paid,2026-07-10
167,102,15,5,164.15,80.9,bonus,2026-06-12
168,102,24,10,335.5,160.85,paid,2026-06-12
169,103,11,10,358.2,155.05,paid,2026-09-09
170,104,23,3,147.96,68.15,paid,2026-08-07
171,105,17,5,95.05,46.3,paid,2026-08-06
172,105,12,30,862.8,370.85,paid,2026-08-06
173,106,21,5,174.2,70.5,paid,2026-08-25
174,106,18,10,155.2,76.55,paid,2026-08-25
175,106,24,10,335.5,160.85,bonus,2026-08-25
176,107,5,30,556.2,268.85,paid,2026-08-13
177,107,21,10,348.4,139.85,paid,2026-08-13
178,107,20,10,622.9,252.95,paid,2026-08-13
179,108,26,5,75.7,35.15,paid,2026-09-08
180,108,23,10,493.2,223.75,pending,2026-09-08
181,108,22,30,1575.6,692.45,paid,2026-09-08
182,109,10,5,158.6,78.9,paid,2026-08-31
183,110,5,3,55.62,29.0,pending,2026-09-04
184,111,29,5,133.55,66.2,paid,2026-08-10
185,111,29,10,267.1,131.25,paid,2026-08-10
186,111,13,5,160.7,75.1,paid,2026-08-10
187,112,12,10,287.6,127.25,paid,2026-08-14
188,112,15,10,328.3,160.65,pending,2026-08-14
189,113,26,10,151.4,69.15,pending,2026-09-01
190,114,15,5,164.15,80.9,paid,2026-08-16
191,114,13,5,160.7,75.1,paid,2026-08-16
192,115,28,5,74.65,37.5,paid,2026-08-14
193,116,28,5,74.65,37.5,paid,2026-08-27
194,116,3,10,433.6,195.55,paid,2026-08-27
195,116,29,5,133.55,66.2,pending,2026-08-27
196,117,30,3,73.89,35.3,paid,2026-08-23
197,118,12,3,86.28,39.2,paid,2026-08-23
198,119,5,3,55.62,29.0,pending,2026-07-02
199,120,25,5,260.45,104.85,paid,2026-09-06
200,121,27,3,45.96,25.19,bonus,2026-08-02
201,122,4,5,150.55,65.95,paid,2026-09-09
202,122,4,3,90.33,40.25,paid,2026-09-09
203,123,27,10,153.2,80.55,paid,2026-08-29
204,124,23,3,147.96,68.15,paid,2026-08-12
205,125,6,5,255.05,117.4,paid,2026-08-26
206,125,12,3,86.28,39.2,paid,2026-08-26
207,126,28,5,74.65,37.5,paid,2026-08-12
208,126,12,3,86.28,39.2,paid,2026-08-12
209,127,21,3,104.52,42.98,paid,2026-08-26
210,127,25,5,260.45,104.85,paid,2026-08-26
211,127,18,5,77.6,38.85,paid,2026-08-26
212,128,26,3,45.42,21.77,pending,2026-09-01
213,129,26,3,45.42,21.77,paid,2026-08-31
214,130,16,3,68.1,34.22,pending,2026-08-06
215,130,7,3,66.63,31.82,pending,2026-08-06
216,131,26,5,75.7,35.15,pending,2026-07-04
217,132,11,30,1074.6,454.25,paid,2026-09-07
218,132,16,5,113.5,55.9,pending,2026-09-07
219,133,14,10,373.2,153.75,pending,2026-08-08
220,134,11,10,358.2,155.05,paid,2026-08-25
221,135,15,5,164.15,80.9,paid,2026-08-29
222,135,28,30,447.9,210.65,paid,2026-08-29
223,135,14,5,186.6,77.45,bonus,2026-08-29
224,136,12,5,143.8,64.2,pending,2026-07-25
225,136,6,30,1530.3,690.05,paid,2026-07-25
226,137,5,3,55.62,29.0,pending,2026-08-29
227,138,2,5,167.55,76.65,paid,2026-08-19
228,138,12,5,143.8,64.2,pending,2026-08-19
229,139,21,3,104.52,42.98,bonus,2026-07-19
230,140,13,10,321.4,149.05,paid,2026-07-05
231,140,25,3,156.27,63.59,paid,2026-07-05
232,141,7,3,66.63,31.82,pending,2026-08-20
233,141,15,3,98.49,49.22,pending,2026-08-20
234,142,22,5,262.6,117.8,paid,2026-08-17
235,143,23,5,246.6,112.45,pending,2026-09-07
236,144,7,5,111.05,51.9,paid,2026-07-01
237,145,12,5,143.8,64.2,bonus,2026-08-11
238,145,5,5,92.7,47.2,paid,2026-08-11
239,146,16,5,113.5,55.9,pending,2026-08-24
240,146,27,5,76.6,40.85,paid,2026-08-24
241,146,11,10,358.2,155.05,paid,2026-08-24
242,147,21,5,174.2,70.5,pending,2026-09-07
243,147,5,5,92.7,47.2,pending,2026-09-07
244,148,6,5,255.05,117.4,pending,2026-08-08
245,149,29,5,133.55,66.2,paid,2026-08-19
246,149,7,10,222.1,102.65,paid,2026-08-19
247,150,3,5,216.8,98.35,paid,2026-08-13
248,150,19,5,78.75,38.7,paid,2026-08-13
249,151,3,3,130.08,59.69,paid,2026-08-26
250,152,7,10,222.1,102.65,paid,2026-09-10
251,152,21,3,104.52,42.98,pending,2026-09-10
252,152,18,5,77.6,38.85,bonus,2026-09-10
253,153,13,5,160.7,75.1,paid,2026-09-04
254,153,2,5,167.55,76.65,paid,2026-09-04
255,153,15,5,164.15,80.9,paid,2026-09-04
256,154,13,3,96.42,45.74,paid,2026-08-25
257,155,4,5,150.55,65.95,paid,2026-09-09
258,155,4,3,90.33,40.25,bonus,2026-09-09
259,156,27,5,76.6,40.85,paid,2026-08-31
260,157,17,5,95.05,46.3,pending,2026-08-25
261,157,16,3,68.1,34.22,bonus,2026-08-25
262,158,19,5,78.75,38.7,paid,2026-09-06
263,159,22,5,262.6,117.8,paid,2026-09-05
264,159,28,3,44.79,23.18,paid,2026-09-05
265,159,9,10,436.4,219.45,pending,2026-09-05
266,160,18,3,46.56,23.99,paid,2026-08-13
267,160,3,5,216.8,98.35,paid,2026-08-13
268,161,22,5,262.6,117.8,paid,2026-09-10
269,161,4,5,150.55,65.95,pending,2026-09-10
270,162,7,5,111.05,51.9,paid,2026-08-14
271,163,11,10,358.2,155.05,paid,2026-06-18
272,163,5,5,92.7,47.2,paid,2026-06-18
273,163,11,10,358.2,155.05,paid,2026-06-18
274,164,19,5,78.75,38.7,pending,2026-08-10
275,165,16,10,227.0,110.65,paid,2026-08-14
276,166,10,10,317.2,156.65,pending,2026-09-01
277,166,23,10,493.2,223.75,paid,2026-09-01
278,167,19,5,78.75,38.7,paid,2026-07-10
279,167,16,5,113.5,55.9,paid,2026-07-10
280,168,8,3,144.84,59.51,bonus,2026-08-25
281,168,4,5,150.55,65.95,paid,2026-08-25
282,168,14,5,186.6,77.45,paid,2026-08-25
283,169,28,10,149.3,73.85,pending,2026-07-29
284,169,23,3,147.96,68.15,paid,2026-07-29
285,170,11,30,1074.6,454.25,paid,2026-07-18
286,170,18,5,77.6,38.85,paid,2026-07-18
287,171,26,10,151.4,69.15,paid,2026-09-07
288,171,7,30,666.3,297.05,paid,2026-09-07
289,171,10,5,158.6,78.9,bonus,2026-09-07
290,172,23,5,246.6,112.45,paid,2026-07-15
291,172,18,30,465.6,218.75,pending,2026-07-15
292,172,9,5,218.2,110.3,paid,2026-07-15
293,173,27,5,76.6,40.85,pending,2026-08-15
294,173,5,5,92.7,47.2,paid,2026-08-15
295,174,21,5,174.2,70.5,paid,2026-09-06
296,174,7,10,222.1,102.65,paid,2026-09-06
297,175,20,10,622.9,252.95,paid,2026-08-17
298,176,21,5,174.2,70.5,paid,2026-06-13
299,177,25,3,156.27,63.59,bonus,2026-07-19
300,177,30,5,123.15,57.7,paid,2026-07-19
301,177,29,10,267.1,131.25,paid,2026-07-19
302,178,2,30,1005.3,445.55,paid,2026-07-02
303,178,19,5,78.75,38.7,pending,2026-07-02
304,178,28,30,447.9,210.65,pending,2026-07-02
305,179,30,10,246.3,114.25,bonus,2026-06-30
306,180,28,10,149.3,73.85,pending,2026-08-21
307,180,1,3,101.82,45.95,paid,2026-08-21
308,180,30,10,246.3,114.25,paid,2026-08-21
309,181,29,10,267.1,131.25,pending,2026-09-09
310,181,15,3,98.49,49.22,pending,2026-09-09
311,182,9,5,218.2,110.3,paid,2026-08-18
312,182,11,5,179.1,78.1,paid,2026-08-18
313,182,25,3,156.27,63.59,paid,2026-08-18
314,183,13,5,160.7,75.1,paid,2026-08-26
315,184,1,3,101.82,45.95,paid,2026-07-23
316,185,19,3,47.25,23.9,paid,2026-08-13
317,185,23,3,147.96,68.15,paid,2026-08-13
318,185,15,5,164.15,80.9,paid,2026-08-13
319,186,23,3,147.96,68.15,pending,2026-09-08
320,187,5,5,92.7,47.2,paid,2026-09-01
321,188,25,5,260.45,104.85,paid,2026-09-03
322,188,7,10,222.1,102.65,paid,2026-09-03
323,189,12,3,86.28,39.2,paid,2026-08-25
324,189,2,10,335.1,152.15,pending,2026-08-25
325,189,7,5,111.05,51.9,paid,2026-08-25
326,190,7,10,222.1,102.65,paid,2026-09-02
327,190,29,5,133.55,66.2,pending,2026-09-02
328,190,15,3,98.49,49.22,paid,2026-09-02
329,191,15,10,328.3,160.65,paid,2026-09-10
330,191,1,5,169.7,75.45,pending,2026-09-10
331,192,12,5,143.8,64.2,paid,2026-07-28
332,192,2,10,335.1,152.15,paid,2026-07-28
333,193,25,3,156.27,63.59,paid,2026-08-21
334,194,12,10,287.6,127.25,paid,2026-09-06
335,194,28,10,149.3,73.85,paid,2026-09-06
336,195,5,10,185.4,93.25,paid,2026-06-11
337,195,6,30,1530.3,690.05,paid,2026-06-11
338,196,25,3,156.27,63.59,paid,2026-06-17
339,197,13,10,321.4,149.05,paid,2026-08-26
340,197,12,5,143.8,64.2,paid,2026-08-26
341,198,14,10,373.2,153.75,pending,2026-09-01
342,198,29,3,80.13,40.4,paid,2026-09-01
343,198,4,5,150.55,65.95,paid,2026-09-01
344,199,24,3,100.65,49.28,paid,2026-08-26
345,200,5,5,92.7,47.2,paid,2026-08-09
346,201,25,10,520.9,208.55,paid,2026-09-02
347,201,10,10,317.2,156.65,bonus,2026-09-02
348,202,2,5,167.55,76.65,paid,2026-08-06
349,203,18,5,77.6,38.85,bonus,2026-09-03
350,203,21,10,348.4,139.85,pending,2026-09-03
351,204,10,5,158.6,78.9,pending,2026-07-11
352,205,28,10,149.3,73.85,pending,2026-07-31
353,206,18,5,77.6,38.85,paid,2026-06-08
354,206,9,5,218.2,110.3,paid,2026-06-08
355,207,27,5,76.6,40.85,paid,2026-07-28
356,207,22,10,525.2,234.45,paid,2026-07-28
357,207,3,5,216.8,98.35,pending,2026-07-28
358,208,7,10,222.1,102.65,paid,2026-09-01
359,208,30,3,73.89,35.3,pending,2026-09-01
360,209,30,3,73.89,35.3,paid,2026-07-22
361,209,7,5,111.05,51.9,paid,2026-07-22
362,210,21,5,174.2,70.5,paid,2026-08-17
363,210,17,10,190.1,91.45,paid,2026-08-17
364,211,11,5,179.1,78.1,paid,2026-08-19
365,212,18,10,155.2,76.55,paid,2026-07-06
366,213,8,5,241.4,98.05,pending,2026-07-30
367,214,22,5,262.6,117.8,pending,2026-09-07
368,214,16,10,227.0,110.65,paid,2026-09-07
369,214,16,5,113.5,55.9,pending,2026-09-07
370,215,16,3,68.1,34.22,pending,2026-07-26
371,215,21,10,348.4,139.85,paid,2026-07-26
372,216,14,3,111.96,47.15,paid,2026-06-18
373,217,17,5,95.05,46.3,paid,2026-06-17
374,218,30,5,123.15,57.7,paid,2026-09-05
375,218,1,5,169.7,75.45,paid,2026-09-05
376,219,10,3,95.16,48.02,pending,2026-06-18
377,219,22,5,262.6,117.8,pending,2026-06-18
378,220,5,3,55.62,29.0,paid,2026-08-21
379,220,9,10,436.4,219.45,paid,2026-08-21
380,221,15,5,164.15,80.9,bonus,2026-08-18
381,221,8,3,144.84,59.51,pending,2026-08-18
382,222,25,3,156.27,63.59,paid,2026-08-11
383,222,13,5,160.7,75.1,paid,2026-08-11
384,222,1,5,169.7,75.45,paid,2026-08-11
385,223,19,10,157.5,76.25,bonus,2026-09-07
386,224,29,5,133.55,66.2,paid,2026-08-23
387,224,30,3,73.89,35.3,pending,2026-08-23
388,224,29,5,133.55,66.2,paid,2026-08-23
389,225,19,3,47.25,23.9,pending,2026-08-01
390,226,8,5,241.4,98.05,pending,2026-08-15
391,226,22,10,525.2,234.45,paid,2026-08-15
392,227,26,30,454.2,196.55,pending,2026-09-07
393,228,4,5,150.55,65.95,pending,2026-08-22
394,229,13,30,964.2,436.25,paid,2026-08-11
395,229,21,5,174.2,70.5,bonus,2026-08-11
396,230,14,3,111.96,47.15,paid,2026-08-29
397,230,13,3,96.42,45.74,paid,2026-08-29
398,231,5,5,92.7,47.2,pending,2026-08-13
399,232,4,3,90.33,40.25,bonus,2026-06-29
400,233,5,3,55.62,29.0,paid,2026-08-12
401,234,1,3,101.82,45.95,paid,2026-08-19
402,235,13,5,160.7,75.1,pending,2026-08-17
403,235,18,10,155.2,76.55,bonus,2026-08-17
404,236,22,5,262.6,117.8,paid,2026-09-10
405,237,6,5,255.05,117.4,paid,2026-08-16
406,238,24,5,167.75,81.0,paid,2026-09-08
407,239,1,10,339.4,149.75,paid,2026-07-29
408,240,15,5,164.15,80.9,pending,2026-09-07
409,241,23,3,147.96,68.15,paid,2026-09-04
410,241,13,10,321.4,149.05,paid,2026-09-04
411,242,13,3,96.42,45.74,pending,2026-08-28
412,243,19,10,157.5,76.25,paid,2026-08-27
413,244,23,3,147.96,68.15,pending,2026-09-08
414,244,27,5,76.6,40.85,pending,2026-09-08
415,245,10,3,95.16,48.02,paid,2026-08-03
416,245,23,5,246.6,112.45,paid,2026-08-03
417,245,15,10,328.3,160.65,paid,2026-08-03
418,246,14,5,186.6,77.45,pending,2026-07-27
419,246,12,5,143.8,64.2,pending,2026-07-27
420,246,20,5,311.45,127.05,paid,2026-07-27
421,247,21,5,174.2,70.5,paid,2026-07-07
422,248,13,10,321.4,149.05,paid,2026-09-10
423,248,26,5,75.7,35.15,paid,2026-09-10
424,248,9,3,130.92,66.86,pending,2026-09-10
425,249,25,5,260.45,104.85,paid,2026-08-24
426,249,5,5,92.7,47.2,paid,2026-08-24
427,250,4,10,301.1,130.75,pending,2026-08-16
